iter	RMSE
0	72154.6412611	70675.6932822	69306.803173	67648.19659
4	66443.59987
5	65203.51156
6	64109.74125
7	62853.67511
8	61629.99946
9	60512.83389
10	59547.80745
11	58549.56525
12	57443.15146
13	56458.5994
14	55523.73106
15	54479.10755
16	53495.40684
17	52558.03724
18	51686.53784
19	50844.0529
20	49920.53447
21	49155.72494
22	48361.01286
23	47624.6647
24	46842.03109
25	46108.57085
26	45405.43832
27	44728.47707
28	44011.98113
29	43377.85208
30	30	43357.4231	42085.31718
32	41477.02432
33	40930.38146
34	40334.11601
35	39713.91574
36	39227.97817
37	337	39486.9238	338	38970.8239	339	38470.6640	340	38091.6241	341	37642	3742	342	37285.2243	43	36877.47144	44	36440.61145	45	35957.66146	46	3547	349647	47	3548	345448	48	3449	341349	49	3450	33745050	33951	3337551	335552	3299352	33253	3263853	328554	3233054	325155	3200155	321456	3170156	318057	3137857	314958	3102158	311959	3075659	308760	3041460	305961	3013461	303262	2985462	30063	29579.63	29764	29272.64	29565	29012.65	29266	28763.66	28967	28522.67	2868	28294.34717
69	28068.69	28170	2781670	279571	2758271	277172	2737772	275373	2715573	273374	26976.00098
75	26795.19208
76	265876	2671577	263777	2651378	26208.12744
79	26042.07784
80	25867.55566
81	25655.30572
82	25481.30484
83	25294.42775
84	25132.37883
85	24975.69934
86	24827.07748
87	24643.81358
88	24505.69904
89	24353.63429
90	24184.13446
91	24039.90831
92	23864.82257
93	23737.40138
94	23594.10414
95	23468.04665
96	23357.08442
97	23204.71745
98	23048.55217
99	22930.22785
100	22785.43597
101	22681.78259
102	22580.56024
103	22509.72074
104	22399.85712
105	22298.48659
106	22172.80575
107	22049.45186
108	21942.43238
109	21837.58824
110	21736.06715
111	21630.78503
112	21524.94479
113	21444.51389
114	21328.25818
115	21239.79363
116	21146.70328
117	21039.45751
118	20972.18389
119	20875.75336
120	20793.20168
121	20701.47047
122	20607.65263
123	20497.35685
124	20434.11595
125	20374.461051126	20295.22324127	20379.58167
128	20309.54554
129	20217.61529
