iter	Passed	Remaining
0	3	17746
1	6	15358
2	9	15682
3	12	15030
4	14	14398
5	17	14646
6	20	14757
7	23	14661
8	26	14487
9	28	14341
10	31	14474
11	35	14713
12	38	14660
13	41	14615
14	43	14556
15	46	14439
16	49	14410
17	52	14526
18	55	14423
19	57	14434
20	60	14394
21	63	14338
22	66	14342
23	68	14274
24	71	14264
25	74	14250
26	76	14141
27	79	14127
28	82	14180
29	86	14271
30	89	14321
31	92	14298
32	95	14326
33	98	14320
34	101	14399335	104	14405336	107	14389337	110	14388338	113	14436
39	116	14440
40	119	14495
41	123	14530
42	125	14520
43	128	14508
44	132	14544
45	134	14538
46	137	14498
47	141	14565
48	144	14564
49	147	14574
50	150	14602
51	153	14608
52	156	14578
53	159	14607
54	162	14590
55	165	14581
56	167	14551
57	170	14546
58	173	14545
59	176	14514
60	179	14520
61	182	14547
62	185	14538
63	187	14494
64	190	14492
65	193	14495
66	196	14488
67	199	14470
68	202	14455
69	205	14464
70	208	14479
71	211	14467
72	214	14479
73	217	14446
74	219	14445
75	222	14407
76	225	14397
77	227	14374
78	230	14338
79	233	14337
80	235	14315
81	238	14294
82	241	14309
83	244	14291
84	247	14291
85	250	14306
86	253	14304
87	255	14286
88	258	14270
89	261	14274
90	264	14273
91	268	14313
92	271	14307
93	273	14286
94	276	14264
95	279	14256
96	281	14237
97	285	14271
98	288	14257
99	290	14251
100	294	14266
101	296	14255
102	299	14245
103	302	14237
104	305	14239
105	308	14253
106	311	14249
107	314	14232
108	317	14225
109	319	14192
110	322	14218
111	323	14139
112	327	14152
113	330	14157
114	332	14134
115	335	14133
116	338	14111
117	341	14128
118	344	14138
119	347	14124
120	350	14121
121	352	14102
122	355	14099
123	358	14088
124	361	14103
125	364	14096
126	367	14086
127	369	14078
128	372	14073
129	375	14071
130	378	14061
131	381	14067
132	384	14060
133	386	14052
134	390	14073
135	393	14074
136	396	14069
137	398	14057
138	402	14068
139	405	14066
140	408	14079
141	411	14070
142	413	14056
143	416	14049
144	419	14043
145	422	14032
146	424	14021
147	426	13997
148	430	14001
149	432	13987
150	435	13985
151	438	13983
152	440	13960
153	443	13949
154	445	13940
155	449	13946
156	452	13943
157	454	13935
158	457	13933
159	460	13936
160	463	13928
161	466	13922
162	469	13924
163	471	13916
164	475	13926
165	477	13908
166	480	13910
167	483	13902
168	486	13898
169	489	13894
170	491	13889
171	494	13876
172	497	13871
173	499	13864
174	503	13877
175	506	13883
176	509	13874
177	512	13879
178	515	13873
179	517	13863
180	520	13857
181	523	13857
182	526	13849
183	529	13853
184	531	13839
185	534	13833
186	536	13821
187	539	13819
188	542	13811
189	545	13812
190	548	13809
191	551	13801
192	553	13789
193	556	13786
194	559	13780
195	561	13768
196	564	13770
197	567	13770
198	571	13776
199	573	13769
200	576	13770
201	579	13763
202	582	13764
203	585	13757
204	588	13753
205	590	13745
206	593	13752
207	596	13750
208	599	13750
209	603	13755
210	605	13752
211	608	13751
212	611	13753
213	614	13742
214	617	13733
215	619	13729
216	622	13711
217	625	13714
218	628	13714
219	631	13715
220	634	13717
221	637	13719
222	640	13714
223	642	13706
224	645	13705
225	648	13699
226	651	13692
227	653	13686
228	656	13678
229	659	13672
230	661	13662
231	664	13658
232	667	13652
233	670	13656
234	673	13654
235	676	13651
236	679	13653
237	682	13649
238	684	13641
239	687	13632
240	690	13632
241	693	13626
242	695	13613
243	698	13612
244	701	13612
245	704	13609
246	707	13614
247	711	13626
248	714	13625
249	717	13623
250	719	13613
251	722	13614
252	726	13626
253	729	13623
254	732	13621
255	734	13614
256	737	13602
257	739	13593
258	741	13579
259	743	13562
260	745	13539
261	749	13548
262	752	13547
263	755	13545
264	757	13542
265	760	13540
266	763	13539
267	766	13538
268	769	13541
269	773	13544
270	775	13539
271	779	13541
272	781	13532
273	784	13526
274	787	13528
275	790	13526
276	793	13523
277	796	13523
278	798	13517
279	801	13513
280	804	13516
281	807	13513
282	811	13518
283	813	13516
284	816	13508
285	819	13505
286	822	13511
287	825	13510
288	828	13509
289	831	13510
290	834	13511
291	837	13510
292	841	13516
293	844	13514
294	847	13517
295	850	13516
296	853	13509
297	855	13503
298	858	13498
299	861	13503
300	864	13498
301	867	13501
302	871	13503
303	873	13497
304	876	13497
305	879	13491
306	882	13494
307	885	13492
308	888	13492
309	891	13490
310	894	13491
311	898	13496
312	900	13489
313	904	13491
314	906	13484
315	909	13488
316	912	13482
317	915	13472
318	918	13471
319	921	13472
320	924	13476
321	927	13476
322	930	13472
323	932	13461
324	936	13465
325	939	13463
326	941	13459
327	944	13456
328	947	13452
329	950	13448
330	953	13449
331	956	13444
332	959	13440
333	961	13435
334	964	13430
335	967	13424
336	969	13419
337	972	134133338	975	134083339	978	134063340	980	13400
341	984	13403
342	987	13407
343	990	13403
344	992	13398
345	995	13393
346	998	13390
347	1001	133883348	1003	133734349	1007	133835350	1010	13380
351	1013	13380
352	1015	13373
353	1018	13369
354	1021	133635355	1024	13360
356	1027	13358
357	1029	133535358	1033	13358
359	1036	13358
360	1039	13353
361	1041	13348
362	1044	13341
363	1047	13338
364	1050	13339
365	1053	13342
366	1056	13338
367	1059	13337
368	1062	13334
369	1064	13326
370	1067	13322
371	1070	13312
372	1073	13311
373	1075	13302
374	1078	13302
375	1081	13304
376	1085	13307
377	1088	13306
378	1090	13301
379	1094	13300
380	1096	13297
381	1099	13296
382	1102	13290
383	1105	13287
384	1107	132803385	1110	132793386	1113	132773387	1116	132743388	1119	13273
389	1122	13270
390	1125	13265
391	1128	13265
392	1131	13268
393	1134	132639394	1138	13272
395	1141	13274
396	1144	13272
397	1147	13273
398	1151	13275
399	1154	13274
400	1157	13274
401	1160	132714402	1163	132704403	1166	132664404	1169	132644405	1172	132624406	1175	132644407	1178	132664408	1181	132634409	1184	132634410	1187	132604411	1190	132564412	1193	132524413	1196	132484414	1198	132424415	1201	132384416	1204	132354417	1207	132394418	1210	132334419	1213	132324420	1216	132344421	1219	132334422	1222	132294423	1225	132264424	1228	132204425	1230	132154426	1233	132094427	1236	132034428	1239	132034429	1242	132054430	1245	131984431	1247	131954432	1250	131894433	1253	131864434	1256	131834435	1258	131784436	1261	131764437	1264	131694438	1267	131694439	1269	131604440	1272	131554441	1275	131534442	1278	131474443	1280	131404444	1283	131424445	1286	131394446	1290	131414447	1292	131354448	1295	131334449	1298	131274450	1301	131224451	1303	13118452	1309	13142
4453	1308	131064454	1311	131004455	1314	130954456	1317	130924457	1320	130924458	1322	130874459	1326	130874460	1329	130874461	1331	130824462	1334	130804463	1337	130774464	1340	130714465	1342	130654466	1345	130614467	1348	130554468	1351	130544469	1354	130514470	1357	130524471	1359	130444472	1362	130414473	1365	130374474	1368	130334475	1371	130324476	1374	130294477	1377	130274478	1379	130214479	1382	130154480	1385	130124481	1387	130054482	1390	130024483	1393	12999484	1399	13026
485	1402	13022
486	1405	13020
487	1408	13020
488	1411	13021
489	1414	13016
490	1416	13012
491	1419	13007
492	1422	13001
493	1425	13000
494	1428	12996
495	1430	12992
496	1433	12989
